qa_id,category,intent_full,sentiment,question,ref,expected_tools,q_len,provenance
400136,OUT_OF_SCOPE,OUT_OF_SCOPE_발주처규정_질문,m,쿠팡플레이 번역 자막은 한 줄에 최대 몇 자까지예요?,R-04,,29,합성
400137,OUT_OF_SCOPE,OUT_OF_SCOPE_발주처규정_질문,m,디즈니플러스 한국어 번역 자막 최소 노출 시간이 몇 초로 정해져 있나요?,R-04,,40,합성
400138,OUT_OF_SCOPE,OUT_OF_SCOPE_발주처규정_질문,m,"왓챠 SDH 작업 들어가는데 거기는 화자 표시를 소괄호로 해요, 대괄호로 해요?",R-04,,44,합성
400139,OUT_OF_SCOPE,OUT_OF_SCOPE_연락처_요청,m,넷플릭스 한국어 자막 외주 받는 번역 에이전시 연락처 몇 군데만 알려 주실 수 있어요?,R-04,,48,합성
400140,OUT_OF_SCOPE,OUT_OF_SCOPE_계약_질문,m,프리랜서 번역 계약서에 2차적 저작물 권리 양도 조항이 있는데 이대로 서명해도 괜찮을까요?,R-04,,50,합성
400141,OUT_OF_SCOPE,OUT_OF_SCOPE_작업료_질문,n,납품한 지 석 달이 지났는데 작업료가 아직도 안 들어왔어요. 이런 건 어디에 따져야 해요?,R-04,,50,합성
400142,OUT_OF_SCOPE,OUT_OF_SCOPE_작업료_요청,n,요즘 물가 생각하면 SDH 단가 너무 짜요. 여기다 말하면 올려 주나요?,R-04,,40,합성
400143,OUT_OF_SCOPE,OUT_OF_SCOPE_비공개자료_요청,n,파트너 포털에 있는 한국어 QC 반려 사유 목록 전체 좀 보내 주세요. 포털 권한이 아직 안 나와서 일을 못 하고 있어요,R-04,,67,합성
400144,OUT_OF_SCOPE,OUT_OF_SCOPE_비공개자료_요청,m,KNP 도구 사용 매뉴얼 PDF 있으면 공유 부탁드려요,R-04,,30,합성
400145,OUT_OF_SCOPE,OUT_OF_SCOPE_대사번역_요청,m,일본어 대사 두 줄인데 자막 말투로 옮겨 주실래요? 「もう遅いよ」「まだ間に合う」,R-04,,44,합성
400146,OUT_OF_SCOPE,OUT_OF_SCOPE_타프로그램_질문,m,Subtitle Edit에서 음성 파형이 안 보이는데 어느 메뉴에서 켜요?,R-04,,41,합성
400147,OUT_OF_SCOPE,OUT_OF_SCOPE_타프로그램_질문,m,VLC로 SRT 틀면 자막 글씨가 너무 작아요. 크기 키우는 법 알려 주세요,R-04,,42,합성
400148,OUT_OF_SCOPE,OUT_OF_SCOPE_무관_질문,m,엑셀에서 시트 두 개 비교해서 값이 다른 셀만 색칠하는 방법 있어요?,R-04,,38,합성
400149,OUT_OF_SCOPE,OUT_OF_SCOPE_무관_질문,m,영상 번역가로 일하려면 따로 따 두면 좋은 자격증이나 시험이 있나요?,R-04,,38,합성
400150,OUT_OF_SCOPE,OUT_OF_SCOPE_잡담_요청,m,오늘 마감 세 개 겹쳐서 머리가 멍하네요 ㅋㅋ 점심 메뉴나 하나 골라 주세요,R-04,,42,합성
